id, type, count, accessories
2000, Female, 3, Big Shades / Tiara / Earring
2001, Female, 3, Stringy Hair / Purple Lipstick / Earring
2002, Male, 2, Messy Hair / Shadow Beard
2003, Male, 2, Horned Rim Glasses / Headband
2004, Male, 3, Frumpy Hair / Handlebars / Eye Patch
2005, Male, 2, Horned Rim Glasses / Knitted Cap
2006, Male, 4, Cigarette / Front Beard Dark / Earring / Crazy Hair
2007, Female, 2, Hot Lipstick / Blonde Bob
2008, Female, 2, Red Mohawk / Earring
2009, Male, 3, Police Cap / Earring / Normal Beard
2010, Male, 3, Front Beard Dark / Purple Hair / Classic Shades
2011, Male, 3, Cap Forward / Muttonchops / Nerd Glasses
2012, Female, 3, Hot Lipstick / Frumpy Hair / Cigarette
2013, Female, 1, Mohawk Dark
2014, Female, 3, Tassle Hat / Green Eye Shadow / Hot Lipstick
2015, Female, 3, Pink With Hat / Earring / Nerd Glasses
2016, Female, 2, Pigtails / Earring
2017, Female, 2, Mole / Messy Hair
2018, Female, 3, Vape / Blonde Bob / Clown Eyes Blue
2019, Female, 2, Clown Eyes Green / Mohawk Dark
2020, Male, 2, Classic Shades / Cowboy Hat
2021, Male, 2, Bandana / Nerd Glasses
2022, Female, 2, Green Eye Shadow / Straight Hair
2023, Female, 3, Mole / Messy Hair / Green Eye Shadow
2024, Male, 3, Nerd Glasses / Goat / Knitted Cap
2025, Male, 2, Small Shades / Mohawk Dark
2026, Male, 3, Cigarette / Peak Spike / Horned Rim Glasses
2027, Male, 2, Knitted Cap / 3D Glasses
2028, Male, 3, Front Beard Dark / Earring / Crazy Hair
2029, Male, 2, Horned Rim Glasses / Cowboy Hat
2030, Female, 3, Crazy Hair / Earring / 3D Glasses
2031, Male, 3, Cigarette / Wild Hair / Small Shades
2032, Male, 4, Frumpy Hair / Frown / Shadow Beard / Earring
2033, Female, 5, Mole / Gold Chain / Purple Lipstick / Clown Eyes Blue / Straight Hair Dark
2034, Female, 2, Wild White Hair / Purple Eye Shadow
2035, Male, 3, Cap / Shadow Beard / VR
2036, Male, 3, Cigarette / Handlebars / Shaved Head
2037, Female, 3, Mole / Hot Lipstick / Frumpy Hair
2038, Male, 3, Cap Forward / Earring / Mole
2039, Female, 3, Green Eye Shadow / Stringy Hair / Purple Lipstick
2040, Male, 2, Headband / Mole
2041, Female, 1, Cigarette
2042, Male, 2, Crazy Hair / 3D Glasses
2043, Male, 2, Stringy Hair / Front Beard Dark
2044, Male, 2, Handlebars / Police Cap
2045, Male, 3, Front Beard / Wild Hair / Regular Shades
2046, Female, 3, Earring / Clown Eyes Blue / Straight Hair Dark
2047, Female, 2, Mole / Half Shaved
2048, Male, 3, Hoodie / Front Beard Dark / VR
2049, Male, 5, Chinstrap / Earring / Pipe / VR / Do-rag
2050, Male, 4, Front Beard Dark / Earring / Do-rag / Regular Shades
2051, Male, 2, Front Beard / Hoodie
2052, Female, 1, Cap
2053, Female, 2, Big Shades / Mohawk
2054, Female, 4, Clown Nose / Pipe / Clown Eyes Green / Straight Hair Blonde
2055, Male, 2, Eye Mask / Peak Spike
2056, Male, 3, Cigarette / Shaved Head / Regular Shades
2057, Male, 2, Normal Beard Black / Wild Hair
2058, Male, 3, Purple Hair / Earring / Goat
2059, Male, 3, Earring / Eye Patch / Mohawk Dark
2060, Male, 2, Muttonchops / Purple Hair
2061, Male, 2, Cap Forward / Normal Beard
2062, Female, 3, Mohawk Thin / Purple Lipstick / Nerd Glasses
2063, Male, 3, Peak Spike / Front Beard Dark / Earring
2064, Male, 3, Front Beard Dark / Shaved Head / Small Shades
2065, Female, 3, Horned Rim Glasses / Hot Lipstick / Dark Hair
2066, Zombie, 1, Knitted Cap
2067, Female, 2, Black Lipstick / Crazy Hair
2068, Female, 3, Tassle Hat / Regular Shades / Purple Lipstick
2069, Female, 3, Green Eye Shadow / Hot Lipstick / Frumpy Hair
2070, Male, 2, Cigarette / Headband
2071, Male, 2, Mohawk Thin / Horned Rim Glasses
2072, Female, 4, Bandana / Green Eye Shadow / Purple Lipstick / Cigarette
2073, Male, 3, Mohawk Thin / Earring / Nerd Glasses
2074, Female, 4, Hot Lipstick / Wild Hair / Earring / Clown Eyes Blue
2075, Male, 3, Clown Nose / Headband / Small Shades
2076, Male, 2, Bandana / Regular Shades
2077, Female, 3, Hot Lipstick / Wild Hair / Cigarette
2078, Female, 2, Frumpy Hair / Clown Eyes Blue
2079, Male, 3, Muttonchops / Earring / Knitted Cap
2080, Male, 2, Purple Hair / Vape
