id, type, count, accessories
9000, Female, 3, Blonde Short / Hot Lipstick / Cigarette
9001, Female, 3, Clown Nose / Bandana / Nerd Glasses
9002, Male, 3, Normal Beard Black / Classic Shades / Mohawk Dark
9003, Female, 3, Black Lipstick / Mohawk Thin / Cigarette
9004, Male, 2, Stringy Hair / Nerd Glasses
9005, Male, 2, Classic Shades / Clown Hair Green
9006, Female, 2, Big Shades / Wild Blonde
9007, Male, 2, Mohawk Thin / Clown Eyes Green
9008, Male, 4, Frown / Mohawk Thin / Goat / Regular Shades
9009, Male, 3, Cigarette / Nerd Glasses / Cowboy Hat
9010, Male, 3, Police Cap / Earring / VR
9011, Male, 4, Muttonchops / Earring / Top Hat / Small Shades
9012, Male, 3, Frumpy Hair / Earring / Medical Mask
9013, Female, 2, Dark Hair / Cigarette
9014, Female, 4, Black Lipstick / Green Eye Shadow / Straight Hair / Cigarette
9015, Male, 3, Cap / Earring / Pipe
9016, Male, 4, Stringy Hair / Chinstrap / Horned Rim Glasses / Smile
9017, Male, 3, Shadow Beard / Do-rag / Small Shades
9018, Male, 4, Peak Spike / Handlebars / Classic Shades / Earring
9019, Male, 4, Bandana / Medical Mask / VR / Big Beard
9020, Female, 3, Eye Mask / Dark Hair / Purple Lipstick
9021, Female, 4, Red Mohawk / Green Eye Shadow / Hot Lipstick / Cigarette
9022, Male, 3, Frumpy Hair / Frown / Muttonchops
9023, Female, 2, Purple Eye Shadow / Headband
9024, Male, 4, Mohawk Thin / Classic Shades / Mustache / Earring
9025, Male, 3, Frumpy Hair / Muttonchops / Earring
9026, Male, 4, Front Beard / Bandana / Classic Shades / Earring
9027, Female, 3, Black Lipstick / Frumpy Hair / Nerd Glasses
9028, Female, 1, Pipe
9029, Female, 2, Mohawk / Purple Lipstick
9030, Female, 3, Black Lipstick / Frumpy Hair / Regular Shades
9031, Male, 2, Cap Forward / Big Shades
9032, Male, 5, Gold Chain / Earring / Horned Rim Glasses / Knitted Cap / Mole
9033, Male, 2, Stringy Hair / Eye Patch
9034, Female, 4, Horned Rim Glasses / Hot Lipstick / Wild Blonde / Earring
9035, Female, 3, Mohawk / Green Eye Shadow / Earring
9036, Male, 5, Frumpy Hair / Frown / Shadow Beard / Earring / VR
9037, Female, 5, Mole / Black Lipstick / Clown Eyes Green / Half Shaved / Cigarette
9038, Male, 5, Crazy Hair / Smile / Medical Mask / Eye Patch / Big Beard
9039, Male, 3, Messy Hair / Buck Teeth / Regular Shades
9040, Male, 3, Stringy Hair / Chinstrap / Horned Rim Glasses
9041, Female, 3, Black Lipstick / Bandana / Earring
9042, Female, 4, Blue Eye Shadow / Wild Hair / Purple Lipstick / Earring
9043, Female, 3, Pipe / Frumpy Hair / Clown Eyes Blue
