id, type, count, accessories
0, Female, 3, Green Eye Shadow / Earring / Blonde Bob
1, Male, 2, Smile / Mohawk
2, Female, 1, Wild Hair
3, Male, 3, Wild Hair / Nerd Glasses / Pipe
4, Male, 4, Big Shades / Wild Hair / Earring / Goat
5, Female, 3, Purple Eye Shadow / Half Shaved / Earring
6, Male, 1, Do-rag
7, Female, 3, Wild White Hair / Spots / Clown Eyes Blue
8, Male, 2, Messy Hair / Luxurious Beard
9, Male, 3, Clown Nose / Police Cap / Big Beard
10, Female, 2, Blue Eye Shadow / Mohawk
11, Female, 3, Black Lipstick / Clown Eyes Green / Straight Hair Dark
12, Female, 2, Blonde Short / Purple Lipstick
13, Female, 3, Big Shades / Black Lipstick / Straight Hair Blonde
14, Female, 3, Pipe / Pilot Helmet / Hot Lipstick
15, Male, 3, Luxurious Beard / Wild Hair / Regular Shades
16, Male, 3, Stringy Hair / Earring / Small Shades
17, Male, 2, Frown / Mohawk
18, Male, 2, Eye Mask / Muttonchops
19, Female, 3, Bandana / Horned Rim Glasses / Hot Lipstick
20, Male, 1, Crazy Hair
21, Male, 3, Messy Hair / Classic Shades / Earring
22, Female, 2, Pilot Helmet / Purple Lipstick
23, Male, 3, Handlebars / Earring / Do-rag
24, Male, 2, Smile / Mohawk Dark
25, Female, 1, Wild White Hair
26, Female, 1, Dark Hair
27, Male, 2, Peak Spike / Earring
28, Male, 2, Big Shades / Crazy Hair
29, Female, 3, Horned Rim Glasses / Half Shaved / Earring
30, Male, 2, Normal Beard Black / Cap
31, Female, 1, Stringy Hair
32, Male, 2, Frown / VR
33, Male, 1, Peak Spike
34, Female, 2, Frumpy Hair / Purple Lipstick
35, Male, 5, Cigarette / Peak Spike / Earring / Horned Rim Glasses / Normal Beard
36, Female, 1, Red Mohawk
37, Female, 2, Cap / Clown Eyes Blue
38, Female, 3, Frumpy Hair / Classic Shades / Purple Lipstick
39, Male, 3, Frown / Shaved Head / Regular Shades
40, Male, 3, Bandana / Chinstrap / Smile
41, Male, 3, Muttonchops / Wild Hair / Clown Eyes Green
42, Female, 2, Wild Hair / Cigarette
43, Female, 1, Half Shaved
44, Male, 1, Messy Hair
45, Male, 2, Earring / Mole
46, Female, 2, Purple Lipstick / Straight Hair Dark
47, Male, 1, Knitted Cap
48, Male, 2, Big Shades / Mohawk
49, Female, 2, Bandana / Purple Eye Shadow
50, Male, 2, Spots / Fedora
51, Male, 3, Muttonchops / Wild Hair / Earring
52, Male, 4, Shadow Beard / Earring / Nerd Glasses / Knitted Cap
53, Female, 2, Big Shades / Straight Hair
54, Male, 1, Hoodie
55, Male, 1, Eye Patch
56, Male, 1, Shaved Head
57, Male, 1, Headband
58, Male, 2, Normal Beard Black / Hoodie
59, Male, 2, Muttonchops / Cowboy Hat
60, Female, 2, Stringy Hair / Purple Lipstick
61, Female, 1, Dark Hair
62, Female, 4, Hot Lipstick / Earring / Mohawk Dark / Clown Eyes Blue
63, Male, 3, Earring / Shaved Head / Small Shades
64, Female, 2, Straight Hair Blonde / Purple Lipstick
65, Female, 2, Eye Mask / Headband
66, Female, 1, Tassle Hat
67, Female, 3, Half Shaved / Purple Lipstick / 3D Glasses
68, Male, 2, Nerd Glasses / Do-rag
69, Male, 2, Normal Beard Black / Fedora
70, Female, 4, Crazy Hair / Regular Shades / Earring / Cigarette
71, Female, 3, Green Eye Shadow / Half Shaved / Purple Lipstick
72, Male, 4, Fedora / Earring / Nerd Glasses / Normal Beard
73, Female, 3, Black Lipstick / Bandana / Earring
74, Male, 3, Shadow Beard / Earring / Mohawk Dark
75, Male, 3, Shadow Beard / Knitted Cap / Eye Patch
76, Male, 2, Cigarette / Do-rag
77, Male, 2, Stringy Hair / Handlebars
78, Male, 3, Handlebars / Knitted Cap / Eye Patch
79, Male, 2, Normal Beard / Mohawk Dark
80, Male, 2, Wild Hair / Mustache
81, Male, 2, Headband / Small Shades
