id, type, count, accessories
7000, Male, 2, Messy Hair / Classic Shades
7001, Male, 4, Police Cap / Chinstrap / Vape / Regular Shades
7002, Male, 3, Cigarette / Normal Beard Black / Knitted Cap
7003, Male, 3, Stringy Hair / Mustache / Mole
7004, Male, 2, Front Beard / Purple Hair
7005, Male, 2, Wild Hair / Goat
7006, Male, 3, Normal Beard Black / Knitted Cap / Eye Patch
7007, Male, 5, Bandana / Luxurious Beard / Vape / Earring / Horned Rim Glasses
7008, Male, 2, Cap Forward / Shadow Beard
7009, Female, 3, Clown Nose / Welding Goggles / Straight Hair Blonde
7010, Female, 2, Pipe / Black Lipstick
7011, Female, 3, Clown Nose / Black Lipstick / Blonde Bob
7012, Male, 2, Fedora / Nerd Glasses
7013, Female, 3, Messy Hair / Eye Patch / Purple Lipstick
7014, Zombie, 2, Cigarette / Frumpy Hair
7015, Female, 5, Tassle Hat / Vape / Blue Eye Shadow / Black Lipstick / Earring
7016, Female, 2, Cap / Purple Eye Shadow
7017, Male, 2, Mohawk / Big Beard
7018, Male, 3, Buck Teeth / Purple Hair / Earring
7019, Male, 4, Clown Nose / Normal Beard Black / Peak Spike / Classic Shades
7020, Female, 3, Black Lipstick / Green Eye Shadow / Blonde Short
7021, Male, 2, Shaved Head / Clown Eyes Green
7022, Female, 3, Mole / Wild Hair / 3D Glasses
7023, Male, 3, Goat / Crazy Hair / 3D Glasses
7024, Female, 2, Knitted Cap / Eye Patch
7025, Male, 2, Classic Shades / Shaved Head
7026, Male, 3, Mustache / Earring / Cowboy Hat
7027, Female, 3, Wild Blonde / VR / Cigarette
7028, Male, 3, Peak Spike / Front Beard Dark / Earring
7029, Male, 3, Cap Forward / Front Beard Dark / Mole
7030, Male, 3, Bandana / Big Shades / Goat
7031, Male, 2, Smile / Cowboy Hat
7032, Male, 4, Stringy Hair / Cigarette / Clown Eyes Blue / Mustache
7033, Female, 3, Mole / Clown Eyes Green / Mohawk Thin
7034, Male, 4, Frumpy Hair / Clown Nose / Luxurious Beard / Earring
7035, Male, 3, Vampire Hair / Cigarette / Goat
7036, Male, 3, Clown Eyes Blue / Fedora / Earring
7037, Male, 3, Earring / Horned Rim Glasses / Cowboy Hat
7038, Female, 3, Red Mohawk / Black Lipstick / Gold Chain
7039, Female, 4, Green Eye Shadow / Crazy Hair / Hot Lipstick / Earring
7040, Male, 2, Bandana / Normal Beard
7041, Female, 3, Cap / Green Eye Shadow / Hot Lipstick
7042, Male, 3, Cigarette / Frown / Wild Hair
7043, Female, 2, Vape / Mohawk
7044, Female, 4, Tassle Hat / Green Eye Shadow / Hot Lipstick / Earring
7045, Female, 3, Tassle Hat / Earring / Nerd Glasses
7046, Male, 4, Stringy Hair / Gold Chain / Earring / Nerd Glasses
7047, Male, 2, Handlebars / Top Hat
7048, Male, 3, Messy Hair / Spots / VR
7049, Male, 2, Mohawk Thin / Clown Eyes Green
7050, Male, 3, Luxurious Beard / Vape / Do-rag
7051, Male, 2, Mohawk Thin / Smile
7052, Female, 3, Straight Hair Blonde / Hot Lipstick / Regular Shades
7053, Male, 2, Eye Mask / Cap
7054, Male, 2, Goat / Regular Shades
7055, Male, 4, Stringy Hair / Mustache / Medical Mask / Regular Shades
7056, Female, 3, Blonde Short / Purple Lipstick / Clown Eyes Blue
7057, Female, 3, Clown Nose / Pilot Helmet / Hot Lipstick
7058, Male, 2, Nerd Glasses / Headband
7059, Female, 2, Red Mohawk / Classic Shades
7060, Male, 3, Crazy Hair / 3D Glasses / Mole
7061, Male, 3, Police Cap / Earring / Pipe
7062, Male, 3, Goat / Headband / Clown Eyes Green
7063, Female, 2, Purple Eye Shadow / Wild Blonde
7064, Male, 3, Eye Mask / Cap / Big Beard
7065, Male, 4, Messy Hair / Normal Beard Black / Big Shades / Vape
7066, Female, 2, Crazy Hair / Nerd Glasses
7067, Male, 2, Messy Hair / Eye Mask
7068, Male, 2, Mohawk / Small Shades
7069, Female, 3, Stringy Hair / Earring / Nerd Glasses
7070, Female, 3, Mole / Straight Hair / Hot Lipstick
7071, Female, 4, Medical Mask / Regular Shades / Stringy Hair / Purple Lipstick
7072, Male, 2, Vampire Hair / Cigarette
7073, Female, 2, Mohawk / Purple Lipstick
7074, Female, 2, Welding Goggles / Mohawk Thin
7075, Male, 2, Front Beard / Police Cap
7076, Female, 4, Black Lipstick / Mohawk / Choker / Earring
7077, Female, 3, Knitted Cap / Classic Shades / Cigarette
7078, Male, 2, Cigarette / Police Cap
7079, Female, 3, Red Mohawk / Welding Goggles / Purple Lipstick
7080, Male, 3, Frown / Muttonchops / Knitted Cap
7081, Female, 2, Horned Rim Glasses / Frumpy Hair
7082, Female, 3, Half Shaved / Purple Lipstick / Nerd Glasses
7083, Female, 3, Wild White Hair / Clown Eyes Green / Purple Lipstick
7084, Male, 3, Earring / Do-rag / Small Shades
7085, Female, 4, Vape / Big Shades / Straight Hair Blonde / Hot Lipstick
7086, Female, 3, Black Lipstick / Blonde Bob / 3D Glasses
7087, Female, 2, Stringy Hair / Rosy Cheeks
7088, Male, 3, Cap Forward / Horned Rim Glasses / Pipe
7089, Male, 2, Front Beard Dark / Mohawk
7090, Female, 3, Pink With Hat / Earring / Clown Eyes Blue
7091, Male, 3, Front Beard Dark / Vape / Crazy Hair
7092, Male, 2, Luxurious Beard / Police Cap
7093, Female, 4, Pigtails / Purple Lipstick / Earring / Cigarette
7094, Male, 4, Cigarette / Messy Hair / Muttonchops / Nerd Glasses
7095, Female, 2, Red Mohawk / Cigarette
7096, Male, 2, Police Cap / Chinstrap
7097, Male, 3, Hoodie / Big Shades / Mole
7098, Male, 2, Luxurious Beard / Cap Forward
7099, Male, 2, Vampire Hair / Big Beard
7100, Male, 3, Chinstrap / Nerd Glasses / Do-rag
7101, Female, 2, Green Eye Shadow / Half Shaved
7102, Female, 2, Horned Rim Glasses / Crazy Hair
7103, Female, 3, Crazy Hair / Hot Lipstick / Earring
7104, Female, 2, Messy Hair / Cigarette
7105, Female, 4, Mohawk Thin / Purple Lipstick / Earring / Cigarette
7106, Male, 3, Mohawk Thin / Classic Shades / Pipe
7107, Male, 2, Cap / Small Shades
7108, Female, 2, Purple Eye Shadow / Stringy Hair
7109, Male, 2, Eye Mask / Crazy Hair
7110, Male, 3, Police Cap / Goat / Small Shades
7111, Female, 1, Silver Chain
7112, Male, 2, Shaved Head / Big Beard
7113, Male, 2, Front Beard Dark / Knitted Cap
7114, Female, 3, Hot Lipstick / Blonde Bob / Cigarette
7115, Male, 3, Frown / Chinstrap / Mohawk Dark
7116, Female, 3, Blue Eye Shadow / Purple Lipstick / Mohawk Dark
7117, Male, 2, Messy Hair / Regular Shades
7118, Male, 3, Cigarette / Cap Forward / Earring
7119, Male, 3, Front Beard / Wild Hair / Eye Patch
7120, Male, 3, Peak Spike / Handlebars / Small Shades
7121, Zombie, 2, Frumpy Hair / Horned Rim Glasses
7122, Female, 4, Headband / Eye Patch / Purple Lipstick / Cigarette
7123, Female, 3, Knitted Cap / Silver Chain / Cigarette
7124, Male, 2, Cigarette / Peak Spike
7125, Female, 4, Tassle Hat / Purple Lipstick / Earring / Clown Eyes Blue
7126, Female, 3, Messy Hair / Black Lipstick / Cigarette
7127, Zombie, 3, Bandana / Eye Mask / Earring
7128, Female, 2, Straight Hair Blonde / Cigarette
7129, Male, 3, Hoodie / Goat / Clown Eyes Green
7130, Male, 2, Frown / Shaved Head
7131, Female, 4, Blue Eye Shadow / Clown Hair Green / Purple Lipstick / Cigarette
7132, Male, 3, Wild Hair / Earring / Clown Eyes Green
7133, Female, 2, Big Shades / Blonde Bob
7134, Male, 5, Cigarette / Goat / Smile / Eye Patch / Mohawk Dark
7135, Male, 2, Cap Forward / Pipe
7136, Female, 3, Crazy Hair / Hot Lipstick / Earring
7137, Male, 4, Classic Shades / Mustache / Earring / Crazy Hair
7138, Female, 3, Tiara / Purple Lipstick / Clown Eyes Blue
7139, Male, 4, Shadow Beard / Wild Hair / Earring / 3D Glasses
7140, Male, 3, Messy Hair / Normal Beard Black / Nerd Glasses
7141, Female, 4, Half Shaved / Earring / Cigarette / Nerd Glasses
7142, Female, 3, Mole / Clown Hair Green / Earring
7143, Male, 4, Cigarette / Earring / VR / Do-rag
7144, Male, 2, Hoodie / Vape
7145, Female, 2, Tassle Hat / VR
7146, Male, 3, Cap / Muttonchops / Small Shades
7147, Male, 2, Mustache / Shaved Head
7148, Male, 3, Clown Eyes Blue / Mustache / Crazy Hair
7149, Male, 2, Cap / Big Shades
7150, Male, 3, Earring / Headband / Pipe
7151, Male, 3, Stringy Hair / Big Shades / Muttonchops
7152, Male, 3, Shadow Beard / Regular Shades / Cowboy Hat
7153, Female, 4, Mole / Tassle Hat / Hot Lipstick / Regular Shades
7154, Male, 4, Hoodie / Shadow Beard / Earring / Regular Shades
7155, Female, 4, Messy Hair / Black Lipstick / Earring / Cigarette
7156, Male, 2, Hoodie / Clown Eyes Green
7157, Male, 3, Big Shades / Earring / Do-rag
7158, Male, 4, Luxurious Beard / Purple Hair / Earring / Clown Eyes Green
7159, Male, 3, Normal Beard Black / Headband / Eye Patch
7160, Male, 2, Messy Hair / Mustache
7161, Male, 2, Cap / Handlebars
7162, Male, 4, Hoodie / Spots / Classic Shades / Earring
7163, Male, 4, Fedora / Vape / Horned Rim Glasses / Big Beard
7164, Male, 2, Fedora / Earring
7165, Female, 2, Stringy Hair / Nerd Glasses
7166, Male, 2, Peak Spike / Smile
7167, Male, 4, Shadow Beard / Earring / Shaved Head / 3D Glasses
7168, Male, 3, Front Beard / Cap Forward / 3D Glasses
7169, Female, 2, Mole / Straight Hair Blonde
7170, Female, 4, Vape / Bandana / Hot Lipstick / Regular Shades
7171, Male, 3, Hoodie / Handlebars / Pipe
7172, Female, 3, Blue Eye Shadow / Earring / Mohawk Dark
7173, Male, 3, Vape / Mohawk / 3D Glasses
7174, Female, 3, Blue Eye Shadow / Pigtails / Cigarette
7175, Male, 3, Clown Nose / Mohawk Thin / Big Shades
7176, Female, 3, Tassle Hat / Big Shades / Black Lipstick
7177, Male, 3, Silver Chain / Wild Hair / Horned Rim Glasses
7178, Male, 3, Clown Eyes Blue / Mohawk Thin / Earring
7179, Male, 3, Messy Hair / Shadow Beard / Earring
7180, Female, 3, Eye Mask / Earring / Blonde Bob
7181, Male, 3, Stringy Hair / Chinstrap / Regular Shades
7182, Male, 5, Frumpy Hair / Gold Chain / Earring / Horned Rim Glasses / Mole
7183, Female, 4, Knitted Cap / VR / Purple Lipstick / Cigarette
7184, Male, 3, Front Beard / Headband / Small Shades
7185, Male, 4, Police Cap / Shadow Beard / Earring / Rosy Cheeks
7186, Male, 3, Cap / Shadow Beard / Mole
7187, Male, 4, Cap / Chinstrap / Earring / Horned Rim Glasses
7188, Male, 3, Eye Mask / Peak Spike / Goat
7189, Male, 4, Normal Beard Black / Earring / Do-rag / 3D Glasses
7190, Male, 4, Bandana / Smile / Eye Patch / Mole
7191, Ape, 2, Nerd Glasses / Knitted Cap
7192, Male, 2, Bandana / Normal Beard Black
7193, Male, 2, Cap / Clown Eyes Green
7194, Male, 2, Wild Hair / Horned Rim Glasses
7195, Male, 3, Clown Nose / Peak Spike / Earring
7196, Female, 3, Green Eye Shadow / Blonde Bob / Cigarette
7197, Male, 4, Mohawk Thin / Gold Chain / Earring / VR
7198, Male, 4, Vampire Hair / Classic Shades / Smile / Medical Mask
7199, Male, 2, Police Cap / Medical Mask
7200, Female, 3, Mole / Black Lipstick / Wild Hair
7201, Male, 4, Cigarette / Normal Beard Black / Police Cap / Smile
7202, Male, 2, Normal Beard Black / Mohawk
7203, Male, 3, Classic Shades / Earring / Cowboy Hat
7204, Female, 3, Clown Eyes Green / Frumpy Hair / Purple Lipstick
7205, Male, 4, Front Beard / Cap Forward / Earring / Horned Rim Glasses
7206, Male, 2, Spots / Fedora
7207, Male, 3, Bandana / Chinstrap / Earring
7208, Male, 3, Stringy Hair / Big Beard / Mole
