id, type, count, accessories
5000, Female, 3, Wild White Hair / Green Eye Shadow / Hot Lipstick
5001, Female, 2, Orange Side / Hot Lipstick
5002, Male, 4, Beanie / Earring / Nerd Glasses / Pipe
5003, Male, 3, Frown / Headband / 3D Glasses
5004, Male, 4, Front Beard Dark / Earring / Horned Rim Glasses / Headband
5005, Female, 2, Messy Hair / Nerd Glasses
5006, Male, 3, Vampire Hair / Chinstrap / Regular Shades
5007, Female, 2, Straight Hair / Hot Lipstick
5008, Male, 2, Classic Shades / Cowboy Hat
5009, Female, 3, Cap / Big Shades / Earring
5010, Female, 4, Horned Rim Glasses / Medical Mask / Straight Hair / Purple Lipstick
5011, Female, 2, Straight Hair Dark / Cigarette
5012, Male, 2, Cigarette / Crazy Hair
5013, Male, 3, Messy Hair / Normal Beard Black / Pipe
5014, Female, 3, Black Lipstick / Straight Hair Blonde / Clown Eyes Blue
5015, Male, 4, Buck Teeth / Vape / Goat / Mohawk
5016, Male, 4, Earring / Do-rag / Regular Shades / Mole
5017, Male, 3, Bandana / Big Shades / Earring
5018, Male, 2, Frumpy Hair / Goat
5019, Male, 3, Earring / Nerd Glasses / Mohawk Dark
5020, Male, 3, Bandana / Front Beard Dark / Classic Shades
5021, Male, 3, Mohawk Thin / Shadow Beard / Earring
5022, Male, 2, Normal Beard / Mohawk
5023, Male, 4, Peak Spike / Front Beard Dark / Earring / Nerd Glasses
5024, Female, 4, Blue Eye Shadow / Black Lipstick / Earring / Straight Hair Dark
5025, Male, 3, Vampire Hair / Medical Mask / Eye Patch
5026, Female, 3, Straight Hair / Classic Shades / Earring
5027, Female, 3, Wild White Hair / Clown Eyes Green / Earring
5028, Male, 3, Messy Hair / Muttonchops / Small Shades
5029, Male, 2, Headband / Clown Eyes Green
5030, Female, 2, Horned Rim Glasses / Wild Hair
5031, Male, 3, Frumpy Hair / Clown Eyes Blue / Shadow Beard
5032, Female, 4, Hot Lipstick / Wild Hair / Clown Eyes Blue / Cigarette
5033, Male, 3, Peak Spike / Handlebars / Classic Shades
5034, Male, 3, Cap / Shadow Beard / Classic Shades
5035, Male, 3, Handlebars / Classic Shades / Knitted Cap
5036, Female, 4, Red Mohawk / Clown Eyes Green / Hot Lipstick / Earring
5037, Male, 3, Cap / Shadow Beard / Earring
5038, Female, 3, Purple Eye Shadow / Mohawk Dark / Cigarette
5039, Male, 3, Front Beard Dark / Horned Rim Glasses / Do-rag
5040, Female, 2, Tassle Hat / Black Lipstick
5041, Male, 3, Mustache / Small Shades / Mohawk Dark
5042, Female, 3, Mohawk Thin / Hot Lipstick / Clown Eyes Blue
5043, Female, 2, Messy Hair / Clown Eyes Blue
5044, Female, 3, Black Lipstick / Eye Patch / Frumpy Hair
5045, Female, 2, Mohawk Dark / Nerd Glasses
5046, Male, 2, Small Shades / Mole
5047, Male, 2, Police Cap / Rosy Cheeks
5048, Male, 3, Bandana / Handlebars / Earring
5049, Female, 3, Orange Side / Clown Eyes Green / Purple Lipstick
5050, Male, 3, Shadow Beard / Shaved Head / Regular Shades
5051, Male, 4, Front Beard / Peak Spike / Earring / 3D Glasses
5052, Female, 3, Clown Nose / Purple Eye Shadow / Mohawk Dark
5053, Female, 4, Vape / Wild White Hair / Hot Lipstick / Earring
5054, Female, 1, Clown Eyes Blue
5055, Female, 4, Black Lipstick / Straight Hair / Regular Shades / Earring
5056, Male, 4, Beanie / Luxurious Beard / Earring / VR
5057, Male, 5, Chinstrap / Classic Shades / Earring / Shaved Head / Mole
5058, Male, 2, Stringy Hair / Small Shades
5059, Male, 3, Gold Chain / Headband / Regular Shades
5060, Female, 4, Green Eye Shadow / Purple Lipstick / Earring / Straight Hair Dark
5061, Male, 2, Frumpy Hair / Big Beard
5062, Male, 3, Front Beard Dark / Crazy Hair / VR
5063, Male, 3, Front Beard Dark / Nerd Glasses / Shaved Head
5064, Female, 3, Eye Mask / Straight Hair / Cigarette
5065, Male, 3, Front Beard Dark / Fedora / Earring
5066, Zombie, 3, Earring / Knitted Cap / Smile
5067, Female, 3, Red Mohawk / Classic Shades / Earring
5068, Female, 3, Messy Hair / Welding Goggles / Earring
5069, Female, 2, Green Eye Shadow / Straight Hair Dark
5070, Male, 3, Cap Forward / Regular Shades / Mole
5071, Female, 3, Big Shades / Bandana / Hot Lipstick
5072, Male, 3, Horned Rim Glasses / Knitted Cap / Smile
5073, Female, 3, Hot Lipstick / Classic Shades / Mohawk Dark
5074, Female, 4, Cap / Hot Lipstick / Cigarette / Nerd Glasses
5075, Female, 3, Green Eye Shadow / Headband / Earring
5076, Female, 2, Black Lipstick / Wild Blonde
5077, Male, 3, Messy Hair / Earring / Horned Rim Glasses
5078, Male, 3, Normal Beard Black / Classic Shades / Knitted Cap
5079, Female, 4, Pipe / Messy Hair / Clown Eyes Green / Hot Lipstick
5080, Male, 4, Shadow Beard / Wild Hair / Earring / Small Shades
5081, Female, 4, Black Lipstick / Blonde Short / VR / Cigarette
5082, Female, 3, Blonde Short / Eye Patch / Hot Lipstick
5083, Female, 4, Pink With Hat / Clown Eyes Green / Earring / Cigarette
5084, Female, 3, Black Lipstick / Straight Hair Blonde / Clown Eyes Blue
5085, Female, 3, Purple Lipstick / Earring / Mohawk Dark
5086, Female, 2, Regular Shades / Mohawk Dark
