id, type, count, accessories
3000, Male, 2, Frumpy Hair / Normal Beard
3001, Male, 2, Vampire Hair / Nerd Glasses
3002, Female, 2, Mohawk / Purple Eye Shadow
3003, Male, 2, Front Beard / Do-rag
3004, Female, 4, Mohawk / Purple Lipstick / Earring / Nerd Glasses
3005, Female, 2, Messy Hair / Welding Goggles
3006, Male, 2, Front Beard / Crazy Hair
3007, Male, 2, Wild Hair / 3D Glasses
3008, Female, 2, Tassle Hat / Horned Rim Glasses
3009, Male, 5, Cigarette / Peak Spike / Big Shades / Earring / Normal Beard
3010, Male, 2, Vampire Hair / Shadow Beard
3011, Male, 6, Vampire Hair / Frown / Earring / Normal Beard / Pipe / Small Shades
3012, Male, 2, Stringy Hair / Gold Chain
3013, Male, 3, Stringy Hair / Gold Chain / Chinstrap
3014, Male, 3, Shadow Beard / Wild Hair / Horned Rim Glasses
3015, Female, 3, Welding Goggles / Crazy Hair / Hot Lipstick
3016, Male, 4, Messy Hair / Normal Beard Black / Smile / Clown Eyes Green
3017, Male, 4, Eye Mask / Frown / Knitted Cap / Big Beard
3018, Male, 3, Cigarette / Wild Hair / Normal Beard
3019, Male, 3, Chinstrap / Eye Patch / Mohawk Dark
3020, Male, 3, Cigarette / Luxurious Beard / Do-rag
3021, Male, 3, Messy Hair / Handlebars / VR
3022, Male, 2, Hoodie / Clown Eyes Green
3023, Male, 3, Bandana / Shadow Beard / Earring
3024, Male, 2, Frumpy Hair / VR
3025, Female, 3, Knitted Cap / Hot Lipstick / Clown Eyes Blue
3026, Female, 2, Horned Rim Glasses / Blonde Short
3027, Male, 3, Bandana / Front Beard Dark / 3D Glasses
3028, Male, 3, Bandana / Shadow Beard / Eye Patch
3029, Female, 3, Red Mohawk / Blue Eye Shadow / Earring
3030, Female, 2, Stringy Hair / Clown Eyes Blue
3031, Female, 2, Tassle Hat / Nerd Glasses
3032, Female, 2, Wild Blonde / Rosy Cheeks
3033, Male, 3, Cigarette / Shadow Beard / Do-rag
3034, Female, 3, Bandana / Green Eye Shadow / Hot Lipstick
3035, Male, 3, Handlebars / Wild Hair / Nerd Glasses
3036, Male, 3, Luxurious Beard / Peak Spike / Eye Patch
3037, Female, 2, Hot Lipstick / Blonde Bob
3038, Female, 3, Cap / Spots / Cigarette
3039, Male, 3, Frown / Hoodie / Mustache
3040, Male, 3, Front Beard Dark / Nerd Glasses / Knitted Cap
3041, Male, 2, Purple Hair / Mustache
3042, Female, 3, Black Lipstick / Mohawk / Clown Eyes Blue
3043, Female, 3, Vape / Blue Eye Shadow / Straight Hair Blonde
3044, Female, 2, Classic Shades / Straight Hair Dark
3045, Male, 3, Peak Spike / Shadow Beard / Horned Rim Glasses
3046, Male, 3, Cap / Classic Shades / Earring
3047, Male, 3, Shadow Beard / Wild Hair / Earring
3048, Male, 2, Messy Hair / Clown Eyes Green
3049, Male, 2, Hoodie / Goat
3050, Female, 2, Horned Rim Glasses / Stringy Hair
3051, Female, 3, Red Mohawk / Purple Lipstick / Earring
3052, Male, 3, Normal Beard Black / Cap / Medical Mask
3053, Male, 3, Muttonchops / Earring / Do-rag
3054, Male, 2, Messy Hair / Small Shades
3055, Male, 3, Peak Spike / Front Beard Dark / Nerd Glasses
3056, Male, 3, Cap Forward / Earring / Small Shades
3057, Female, 3, Pink With Hat / Clown Eyes Green / Hot Lipstick
3058, Female, 2, Purple Eye Shadow / Crazy Hair
3059, Female, 2, Headband / Earring
3060, Female, 1, Pigtails
3061, Male, 2, Hoodie / Big Shades
3062, Male, 3, Luxurious Beard / Earring / Shaved Head
3063, Male, 2, Handlebars / Clown Hair Green
3064, Male, 3, Earring / Horned Rim Glasses / Cowboy Hat
3065, Male, 2, Wild Hair / Regular Shades
3066, Female, 4, Black Lipstick / Clown Eyes Green / Headband / Earring
3067, Male, 4, Earring / Horned Rim Glasses / Goat / Do-rag
3068, Male, 3, Shadow Beard / Wild Hair / Small Shades
3069, Male, 2, Knitted Cap / Eye Patch
3070, Male, 2, Mohawk Thin / Earring
3071, Female, 2, Clown Hair Green / Hot Lipstick
3072, Male, 3, Big Shades / Earring / Shaved Head
3073, Male, 3, Bandana / Eye Mask / Big Beard
3074, Male, 4, Buck Teeth / Purple Hair / Vape / Earring
3075, Male, 3, Eye Mask / Pipe / Do-rag
3076, Female, 2, Clown Eyes Green / Mohawk Dark
3077, Male, 2, Classic Shades / Cowboy Hat
3078, Female, 3, Purple Eye Shadow / Wild Blonde / Purple Lipstick
3079, Female, 2, Tassle Hat / Eye Mask
3080, Male, 3, Front Beard / Cap Forward / Earring
3081, Male, 2, Classic Shades / Knitted Cap
3082, Female, 3, Black Lipstick / Clown Eyes Green / Mohawk Dark
3083, Male, 2, Chinstrap / Cowboy Hat
3084, Female, 4, Black Lipstick / Regular Shades / Rosy Cheeks / Mohawk Dark
3085, Male, 4, Frumpy Hair / Normal Beard Black / Earring / VR
3086, Male, 3, Cap / Regular Shades / Mole
3087, Female, 3, Tassle Hat / Blue Eye Shadow / Hot Lipstick
3088, Male, 4, Normal Beard Black / Earring / Top Hat / VR
3089, Female, 2, Cap / Earring
