id, type, count, accessories
6000, Male, 2, Front Beard / Crazy Hair
6001, Male, 2, Bandana / Muttonchops
6002, Male, 4, Chinstrap / Earring / Knitted Cap / 3D Glasses
6003, Female, 3, Eye Patch / Purple Lipstick / Mohawk Dark
6004, Female, 2, Messy Hair / Clown Eyes Green
6005, Female, 4, Black Lipstick / Straight Hair / Eye Patch / Earring
6006, Male, 2, Wild Hair / Small Shades
6007, Male, 3, Mohawk Thin / Horned Rim Glasses / Normal Beard
6008, Male, 3, Mohawk Thin / Muttonchops / Eye Patch
6009, Male, 4, Cigarette / Eye Mask / Earring / Headband
6010, Male, 3, Purple Hair / Vape / Earring
6011, Male, 3, Big Shades / Wild Hair / Medical Mask
6012, Male, 4, Wild Hair / Earring / VR / Mole
6013, Male, 3, Luxurious Beard / Horned Rim Glasses / Headband
6014, Male, 2, Buck Teeth / Police Cap
6015, Female, 3, Black Lipstick / Welding Goggles / Straight Hair Blonde
6016, Male, 4, Cigarette / Peak Spike / Gold Chain / Front Beard Dark
6017, Female, 3, Mohawk Thin / Purple Lipstick / Clown Eyes Blue
6018, Male, 4, Gold Chain / Chinstrap / Knitted Cap / VR
6019, Male, 2, Shaved Head / Regular Shades
6020, Male, 4, Stringy Hair / Horned Rim Glasses / Pipe / Mole
6021, Female, 2, Eye Mask / Bandana
6022, Male, 3, Horned Rim Glasses / Normal Beard / Crazy Hair
6023, Female, 3, Messy Hair / Regular Shades / Earring
6024, Male, 3, Fedora / Normal Beard / Regular Shades
6025, Female, 3, Red Mohawk / Black Lipstick / Cigarette
6026, Male, 2, Luxurious Beard / Wild Hair
6027, Male, 3, Classic Shades / Shaved Head / Mole
6028, Female, 3, Green Eye Shadow / Stringy Hair / Earring
6029, Female, 3, Tassle Hat / Purple Eye Shadow / Earring
6030, Female, 3, Spots / Wild Blonde / Classic Shades
6031, Male, 3, Front Beard Dark / Horned Rim Glasses / Pipe
6032, Male, 3, Stringy Hair / Regular Shades / Big Beard
6033, Male, 3, Muttonchops / Vape / Do-rag
6034, Male, 4, Clown Nose / Cap / Normal Beard / Pipe
6035, Male, 3, Cigarette / Front Beard / Headband
6036, Male, 3, Hoodie / Muttonchops / Horned Rim Glasses
6037, Female, 2, Crazy Hair / Hot Lipstick
6038, Female, 3, Purple Eye Shadow / Crazy Hair / Hot Lipstick
6039, Male, 3, Mohawk Thin / Classic Shades / Earring
6040, Male, 3, Police Cap / Gold Chain / Regular Shades
6041, Male, 2, Clown Eyes Blue / Crazy Hair
6042, Male, 3, Cap Forward / Earring / 3D Glasses
6043, Female, 2, Orange Side / 3D Glasses
6044, Male, 4, Earring / Shaved Head / Regular Shades / Mole
6045, Female, 2, Clown Eyes Green / Straight Hair Dark
6046, Male, 3, Cigarette / Frumpy Hair / 3D Glasses
6047, Female, 4, Tassle Hat / Blue Eye Shadow / Black Lipstick / Earring
6048, Male, 3, Frumpy Hair / Muttonchops / Nerd Glasses
6049, Female, 3, Wild White Hair / Gold Chain / Clown Eyes Blue
6050, Male, 3, Messy Hair / Chinstrap / Earring
6051, Male, 2, Messy Hair / Rosy Cheeks
6052, Male, 3, Earring / Shaved Head / Small Shades
6053, Male, 3, Handlebars / Nerd Glasses / Mohawk Dark
6054, Male, 4, Mohawk Thin / Front Beard Dark / Pipe / 3D Glasses
6055, Female, 4, Wild White Hair / Purple Lipstick / Earring / Nerd Glasses
6056, Male, 4, Bandana / Shadow Beard / Horned Rim Glasses / Smile
6057, Female, 4, Green Eye Shadow / Straight Hair / Purple Lipstick / Cigarette
6058, Male, 3, Stringy Hair / Earring / Smile
6059, Female, 3, Cap / Black Lipstick / Earring
6060, Male, 3, Spots / Smile / Do-rag
6061, Male, 4, Stringy Hair / Earring / Smile / 3D Glasses
6062, Male, 5, Cigarette / Police Cap / Mustache / Earring / 3D Glasses
6063, Male, 3, Police Cap / Big Shades / Smile
6064, Female, 3, Knitted Cap / Earring / Clown Eyes Blue
6065, Female, 3, Classic Shades / Wild Hair / Purple Lipstick
6066, Male, 3, Frown / Horned Rim Glasses / Crazy Hair
6067, Female, 2, Red Mohawk / Purple Eye Shadow
6068, Male, 4, Stringy Hair / Cigarette / Mustache / Horned Rim Glasses
6069, Male, 3, Front Beard / Earring / Shaved Head
6070, Female, 3, Knitted Cap / Purple Lipstick / Earring
6071, Female, 3, Straight Hair / Purple Lipstick / Clown Eyes Blue
6072, Female, 2, Clown Nose / Blonde Bob
6073, Female, 3, Pigtails / Eye Patch / Hot Lipstick
6074, Female, 4, Red Mohawk / Black Lipstick / Earring / Clown Eyes Blue
6075, Female, 2, 3D Glasses / Straight Hair Dark
6076, Male, 3, Messy Hair / Earring / Clown Eyes Green
6077, Female, 3, Black Lipstick / Mohawk Thin / Nerd Glasses
6078, Female, 3, Red Mohawk / Hot Lipstick / Clown Eyes Blue
6079, Female, 3, Hot Lipstick / Wild Hair / Clown Eyes Blue
6080, Male, 2, Frumpy Hair / 3D Glasses
6081, Male, 1, Smile
6082, Male, 2, Peak Spike / Goat
6083, Male, 3, Cigarette / Wild Hair / Horned Rim Glasses
6084, Female, 2, Tassle Hat / Purple Lipstick
6085, Male, 2, Frumpy Hair / Mustache
6086, Female, 4, Pipe / Hot Lipstick / Frumpy Hair / Earring
6087, Male, 3, Peak Spike / Goat / Regular Shades
6088, Female, 4, Mole / Mohawk / Earring / Nerd Glasses
6089, Alien, 2, Earring / Knitted Cap
6090, Male, 3, Cap Forward / Classic Shades / Earring
6091, Male, 1, Clown Nose
6092, Male, 3, Frumpy Hair / Shadow Beard / Earring
6093, Female, 3, Medical Mask / Hot Lipstick / Half Shaved
6094, Male, 2, Gold Chain / Headband
6095, Male, 2, Gold Chain / Wild Hair
6096, Female, 2, Green Eye Shadow / Mohawk Thin
6097, Male, 2, Normal Beard Black / Peak Spike
6098, Female, 3, Big Shades / Hot Lipstick / Straight Hair Dark
6099, Female, 2, Welding Goggles / Crazy Hair
6100, Male, 3, Vampire Hair / Mustache / Eye Patch
6101, Male, 3, Bandana / Smile / Regular Shades
6102, Female, 2, Red Mohawk / Regular Shades
6103, Male, 3, Peak Spike / Earring / Horned Rim Glasses
6104, Female, 4, Mole / Hot Lipstick / Wild Blonde / Clown Eyes Blue
6105, Male, 2, Shaved Head / Big Beard
6106, Male, 3, Frown / Hoodie / Chinstrap
6107, Female, 3, Blue Eye Shadow / Gold Chain / Crazy Hair
6108, Male, 2, Headband / Clown Eyes Green
6109, Male, 2, Mohawk / Clown Eyes Green
6110, Female, 3, Mohawk / Hot Lipstick / Cigarette
6111, Female, 3, Pigtails / Hot Lipstick / Earring
